asset_id,filename,folder,category,width,height,aspect_ratio,characters_present,location,story_role,evidence_id,critical_or_filler,notes
GAL-009,maya_selfie.webp,gallery,normal gallery,1536,2048,3:4,Maya,Fictional city,friend contact photo,,filler,Canonical Maya identity preserved
GAL-010,office_team.webp,gallery,normal gallery,2048,1536,4:3,Sarah Mehta; Ryan Desai; supporting colleagues,Tech Park,workplace relationship context,,critical,Sarah and Ryan recognizable; supporting people distinct
CLUE-001,bluebird_cafe_0241.webp,clues,clue photography,2048,1536,4:3,,Bluebird Café,location and timeline clue,E-C01,critical,Used cup and umbrella are subtle scene details
CLUE-002,central_station_0302.webp,clues,clue photography,2048,1536,4:3,,Central Station,location anchor,E-C02,critical,Defines station continuity landmarks
CLUE-003,station_reflection.webp,clues,clue photography,2048,1536,4:3,Unknown Caller treatment,Central Station,hidden reflection clue,E-C03,critical,Reflection visible on zoom but not highlighted
CLUE-004,dark_street_0311.webp,clues,clue photography,1536,2048,3:4,,Fictional side street,movement and tension clue,E-C04,critical,Intentional motion blur and poor framing
CLUE-005,locker_28.webp,clues,clue photography,2048,1536,4:3,,Central Station,locker identification,E-C05,critical,28 appears naturally on physical plate
CLUE-006,locker_contents.webp,clues,clue photography,2048,1536,4:3,,Central Station,evidence contents,E-C06,critical,USB; key; envelope; schematic; partial photo
CLUE-007,vehicle_partial.webp,clues,clue photography,2048,1536,4:3,,Fictional city road,vehicle clue,E-C07,critical,Plate unreadable; tail-light and scratch discoverable
CLUE-008,riverside_0324.webp,clues,clue photography,2048,1536,4:3,,Riverside,location and trace clue,E-C08,critical,Fabric strip subtle on railing
CLUE-009,cctv_station.webp,clues,security-camera frame,1920,1080,16:9,Two ambiguous figures,Central Station,movement corroboration,E-C09,critical,No CCTV timestamp or UI
CLUE-010,blurred_figure.webp,clues,clue photography,1536,2048,3:4,Unknown Caller treatment,Central Station exit,ambiguous person clue,E-C10,critical,Identity intentionally unreadable
CLUE-011,office_document_photo.webp,clues,clue photography,2048,1536,4:3,,Tech Park,workplace investigation clue,E-C11,critical,Charts and redactions contain no readable paragraphs
CLUE-012,sarah_last_photo.webp,clues,clue photography,1536,2048,3:4,Sarah Mehta,Central Station,last known image,E-C12,critical,Canonical Sarah; no culprit or solution revealed
ENV-001,central_station_night.webp,environments,environment,1920,1080,16:9,,Central Station,establishing scene,,critical,Matches clue station architecture and landmarks
ENV-002,bluebird_cafe_exterior.webp,environments,environment,1920,1080,16:9,,Bluebird Café,establishing scene,,critical,Matches interior teal tile; warm wood; brass lights
ENV-003,riverside_night.webp,environments,environment,1920,1080,16:9,,Riverside,establishing scene,,critical,Matches railing; floodwall; leaning lamp
ENV-004,apartment_hallway.webp,environments,environment,1920,1080,16:9,,Sarah's Apartment,establishing scene,,filler,Fictional residential corridor
ENV-005,tech_park_office.webp,environments,environment,1920,1080,16:9,,Tech Park,establishing scene,,critical,Matches workplace material and palette
ENV-006,rainy_city_night.webp,environments,environment,1920,1080,16:9,,Fictional city,world establishing scene,,filler,No real landmark or readable signage
WALL-001,sarah_lock_wallpaper.webp,wallpapers,wallpaper,1440,3200,9:20,,Personal wallpaper,lock-screen background,,critical,No UI; dark clock-safe negative space
WALL-002,sarah_home_wallpaper.webp,wallpapers,wallpaper,1440,3200,9:20,,Personal wallpaper,home-screen background,,critical,Low contrast behind app icons; no UI
WALL-003,nova_dark_wallpaper.webp,wallpapers,wallpaper,1440,3200,9:20,,NOVA OS,system background,,critical,Abstract dark wallpaper; no UI or numbers
ART-001,case001_cover.webp,case-art,case art,1600,2000,4:5,Sarah Mehta; distant figure,Central Station,case cover,,critical,Typography-safe negative space; no baked title
ART-002,case001_intro.webp,case-art,case art,1920,1080,16:9,Sarah Mehta reflection,Central Station,case introduction,,critical,Canonical Sarah reflection; no duplicated physical figure
ART-003,case001_solved.webp,case-art,case art,1920,1080,16:9,Sarah Mehta,Riverside,true-ending atmosphere,,critical,Relief without arcade celebration
ART-004,case001_failed.webp,case-art,case art,1920,1080,16:9,Unknown Caller treatment,Central Station,wrong-theory atmosphere,,critical,No culprit reveal; violence or horror cue
ART-005,case001_background.webp,case-art,case art,1920,1080,16:9,,Central Station and rainy city,reusable case background,,critical,Low-detail overlay-safe composition
